raw_line,datefrag,timefrag,thread,level,component,message,block_ids,ips,size,src_ip,dest_ip,_timestamp,block_id_list,trace_id,module,subcomponent,template,template_id
081109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating,81109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,blk_38865049064139660,,0,,,,['blk_38865049064139660'],blk_38865049064139660,dfs.DataNode,PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,1
081109 203807 222 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-6952295868487656571 terminating,81109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,blk_-6952295868487656571,,0,,,,['blk_-6952295868487656571'],blk_-6952295868487656571,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 204005 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,81109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,blk_7128370237687728475,10.251.73.220:50010,67108864,,,,['blk_7128370237687728475'],blk_7128370237687728475,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,2
081109 204015 308 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_8229193803249955061 terminating,81109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,blk_8229193803249955061,,0,,,,['blk_8229193803249955061'],blk_8229193803249955061,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 204106 329 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-6670958622368987959 terminating,81109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,blk_-6670958622368987959,,0,,,,['blk_-6670958622368987959'],blk_-6670958622368987959,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,81109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,blk_3050920587428079149,10.251.43.115:50010,67108864,,,,['blk_3050920587428079149'],blk_3050920587428079149,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,81109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,blk_7888946331804732825,10.251.203.80:50010,67108864,,,,['blk_7888946331804732825'],blk_7888946331804732825,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,81109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,blk_2377150260128098806,10.250.11.85:50010,67108864,,,,['blk_2377150260128098806'],blk_2377150260128098806,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating,81109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,blk_572492839287299681,,0,,,,['blk_572492839287299681'],blk_572492839287299681,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 204655 556 INFO dfs.DataNode$PacketResponder: Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,81109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,blk_3587508140051953248,,67108864,,,,['blk_3587508140051953248'],blk_3587508140051953248,dfs.DataNode,PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,3
081109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,81109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,blk_5402003568334525940,,67108864,,,,['blk_5402003568334525940'],blk_5402003568334525940,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,81109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,blk_5792489080791696128,"10.251.30.6:33145,10.251.30.6:50010",0,10.251.30.6:33145,10.251.30.6:50010,,['blk_5792489080791696128'],blk_5792489080791696128,dfs.DataNode,DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,4
081109 204842 663 INFO dfs.DataNode$DataXceiver: Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,81109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,blk_1724757848743533110,"10.251.111.130:49851,10.251.111.130:50010",0,10.251.111.130:49851,10.251.111.130:50010,,['blk_1724757848743533110'],blk_1724757848743533110,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 204908 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,81109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,blk_8015913224713045110,10.251.110.8:50010,67108864,,,,['blk_8015913224713045110'],blk_8015913224713045110,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 204925 673 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,81109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,blk_-5623176793330377570,"10.251.75.228:53725,10.251.75.228:50010",0,10.251.75.228:53725,10.251.75.228:50010,,['blk_-5623176793330377570'],blk_-5623176793330377570,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 205035 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,81109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,blk_-1727475099218615100,,0,,,,['blk_-1727475099218615100'],blk_-1727475099218615100,dfs,FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,5
081109 205056 710 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_5017373558217225674 terminating,81109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,blk_5017373558217225674,,0,,,,['blk_5017373558217225674'],blk_5017373558217225674,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 205157 752 INFO dfs.DataNode$PacketResponder: Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,81109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,blk_9212264480425680329,,67108864,,,,['blk_9212264480425680329'],blk_9212264480425680329,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 205315 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,81109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,blk_-7878121102358435702,,0,,,,['blk_-7878121102358435702'],blk_-7878121102358435702,dfs,FSNamesystem,BLOCK* NameSystem.allocateBlock: <*> <*>,5
